"role";"frequncy"
"join.7";"1"
"join.8";"1"
"join.9";"1"
"join:01";"1"
"join:02";"1"
"join:03";"1"
"join:04";"1"
"join:05";"1"
"join:06";"1"
"join:07";"1"
"join:08";"1"
"join:09";"1"
"join:10";"1"
"join:11";"1"
"join:12";"1"
"join:13";"1"
"join:14";"1"
"join:15";"1"
"join:16";"1"
"junction";"14"
"label";"359"
"Liblar-Rech";"2"
"location_hint";"1"
"map";"1"
"member";"6"
"memorial";"2"
"milestone";"9"
"milestone:03";"1"
"milestone:04";"1"
"milestone:05";"1"
"milestone:06";"1"
"milestone:07";"1"
"milestone:08";"1"
"mirror";"2"
"mouth";"1"
"negative";"121"
"negative:parking";"20"
"Niehl, Betriebshof Nord";"1"
"ok";"26"
"other";"5"
"outer";"4"
"outline";"1"
"paltform";"2"
"parking";"189"
"part";"2"
"patform";"1"
"Pension mit Fahrradraum";"5"
"perimeter";"1"
"Pilgergaststätte";"1"
"plarform";"1"
"platform";"111948"
"platform_entry_only";"303"
"platform_ex";"1"
"platform_exit_only";"507"
"plattform";"2"
"pltform";"1"
"poi";"24"
"pole";"2"
"positive";"121"
"positive:parking";"12"
"post_box";"1"
"public_transport";"2"
"restaurant";"1"
"RoadEnd";"2"
"RoadStart";"1"
"route:c";"1"
"Sation";"1"
"shop";"1"
"sign";"548"
"signal";"8"
"signpost";"3"
"site";"44"
"spring";"38"
"start";"526"
"Start 43";"1"
"Start 44";"1"
"Start 46";"1"
"Start 47";"1"
"Start 48";"1"
"start#01";"1"
"start#02";"1"
"start#03";"1"
"start#04";"1"
"start#05";"1"
"start#06";"2"
"start#07";"1"
"start#08";"1"
"start#09";"1"
"start#10";"1"
"start#11";"1"
"start#12";"1"
"Start/Ende";"1"
"startend";"1"
"start_stop";"7"
"station";"83"
"Station 1";"1"
"Station 2";"2"
"Station 3";"2"
"Station 4";"1"
"Station 7";"2"
"station.A";"1"
"station.B";"1"
"station:A";"1"
"station:C";"1"
"station:F";"1"
"station:H";"1"
"step_4";"2"
"step_5";"2"
"stop";"144110"
"stop N";"1"
"stop S";"1"
"stop:00";"1"
"stop:01";"1"
"stop:02";"1"
"stop:03";"1"
"stop:04";"1"
"stop:05";"1"
"stop:06";"1"
"stop:07";"1"
"stop:08";"1"
"stop:09";"1"
"stop:10";"1"
"stop:11";"1"
"stop:12";"1"
"stop:13";"1"
"stop:14";"1"
"stop:15";"1"
"stop:16";"1"
"stop:17";"1"
"stop:18";"1"
"stop:19";"1"
"stop:20";"1"
"stop:21";"1"
"stop:a";"8"
"stop:a07";"1"
"stop:a:00";"10"
"stop:a:01";"5"
"stop:a:02";"14"
"stop:a:03";"14"
"stop:a:04";"15"
"stop:a:05";"14"
"stop:a:06";"12"
"stop:a:07";"14"
"stop:a:08";"16"
"stop:a:09";"11"
"stop:a:10";"17"
"stop:a:11";"11"
"stop:a:12";"12"
"stop:a:13";"13"
"stop:a:14";"11"
"stop:a:15";"11"
"stop:a:16";"11"
"stop:a:17";"10"
"stop:a:18";"9"
"stop:a:19";"10"
"stop:a:20";"5"
"stop:a:21";"7"
"stop:a:22";"5"
"stop:a:23";"5"
"stop:a:24";"4"
"stop:a:25";"4"
"stop:a:26";"2"
"stop:a:27";"2"
"stop:a:29";"1"
"stop:a:30";"1"
"stop:a:31";"2"
"stop:a:32";"1"
"stop:a:33";"2"
"stop:a:35";"2"
"stop:a:36";"1"
"stop:a:37";"1"
"stop:a:38";"3"
"stop:a:39";"2"
"stop:a:40";"2"
"stop:a:41";"1"
"stop:a:42";"2"
"stop:a:43";"1"
"stop:a:44";"1"
"stop:a:45";"1"
"stop:a:46";"2"
"stop:a:47";"1"
"stop:a:48";"1"
"stop:a:49";"1"
"stop:a:50";"1"
"stop:a:51";"1"
"stop:a:52";"2"
"stop:a:53";"1"
"stop:a:54";"1"
"stop:a:55";"1"
"stop:a:57";"1"
"stop:a:59";"1"
"stop:a:62";"1"
"stop:b:00";"7"
"stop:b:01";"1"
"stop:b:02";"2"
"stop:b:03";"1"
"stop:b:04";"2"
"stop:b:05";"1"
"stop:b:06";"1"
"stop:b:07";"1"
"stop:b:08";"1"
"stop:b:09";"1"
"stop:b:10";"1"
"stop:b:11";"1"
"stop:b:14";"1"
"stop:c:00";"5"
"stop:c:01";"4"
"stop:c:02";"4"
"stop:c:03";"3"
"stop:c:04";"3"
"stop:c:05";"5"
"stop:c:06";"1"
"stop:c:07";"1"
"stop:c:08";"2"
"stop:c:09";"2"
"stop:d:00";"6"
"stop:d:01";"2"
"stop:d:02";"2"
"stop:d:03";"3"
"stop:d:04";"3"
"stop:d:05";"2"
"stop:d:07";"1"
"stop:d:08";"1"
"stop:d:10";"1"
"stop:d:11";"1"
"stop:d:13";"1"
"stop:d:14";"1"
"stop:d:15";"1"
"stop:e:00";"6"
"stop:e:01";"3"
"stop:e:02";"3"
"stop:e:03";"4"
"stop:e:04";"2"
"stop:e:05";"2"
"stop:e:06";"1"
"stop:e:07";"1"
"stop:e:08";"1"
"stop:e:09";"1"
"stop:e:10";"1"
"stop:e:11";"1"
"stop:e:12";"1"
"stop:e:13";"1"
"stop:e:14";"1"
"stop:e:15";"1"
"stop:e:16";"1"
"stop:e:17";"1"
"stop:f:00";"6"
"stop:f:02";"4"
"stop:f:03";"1"
"stop:f:04";"4"
"stop:f:05";"2"
"stop:f:06";"2"
"stop:f:07";"2"
"stop:f:08";"4"
"stop:f:09";"2"
"stop:f:10";"2"
"stop:f:11";"3"
"stop:f:12";"1"
"stop:f:13";"2"
"stop:f:14";"2"
"stop:f:15";"1"
"stop:f:16";"1"
"stop:f:19";"1"
"stop:f:21";"1"
"stop:f:23";"1"
"stop:f:24";"1"
"stop:f:25";"1"
"stop:f:26";"1"
"stop:f:27";"1"
"stop:f:30";"1"
"stop:g:00";"2"
"stop:g:01";"1"
"stop:g:02";"1"
"stop:g:06";"1"
"stop:h:00";"3"
"stop:h:01";"2"
"stop:h:02";"3"
"stop:h:03";"2"
"stop:h:04";"2"
"stop:h:05";"2"
"stop:h:06";"1"
"stop:h:07";"3"
"stop:h:08";"3"
"stop:h:09";"2"
"stop:h:10";"2"
"stop:h:11";"2"
"stop:h:12";"2"
"stop:h:13";"2"
"stop:h:14";"2"
"stop:h:15";"1"
"stop:i:00";"1"
"stop:j:00";"2"
"stop:j:01";"1"
"stop:j:02";"1"
"stop:j:05";"1"
"stop:j:06";"1"
"stop:j:07";"1"
"stop:j:09";"1"
"stop:k:00";"2"
"stop:k:04";"1"
"stop:k:05";"1"
"stop:k:07";"1"
"stop:m:00";"1"
"stop:m:02";"1"
"stop:m:03";"1"
"stop:n:00";"2"
"stop:n:01";"1"
"stop:n:02";"1"
"stop:n:03";"1"
"stop:n:05";"1"
"stop:o:00";"1"
"stop:o:01";"1"
"stop:o:03";"1"
"stop:o:04";"1"
"stop:o:05";"1"
"stop:o:06";"1"
"stop:o:08";"1"
"stop:p:00";"1"
"stop:p:03";"2"
"stop:p:04";"1"
"stop:p:05";"1"
"stop:p:06";"1"
"stop:p:07";"1"
"stop:q:00";"1"
"stop:q:01";"1"
"stop:q:02";"1"
"stop:q:03";"1"
"stop:q:06";"1"
"stop:q:08";"1"
"stop:q:09";"1"
"stop:q:10";"1"
"stop:q:11";"1"
"stop:q:12";"1"
"stop:q:13";"1"
"stop:q:15";"1"
"stop:start";"8"
"stop:terminal";"8"
"stop_";"2"
"stop_0";"2"
"stop_1";"3"
"stop_10";"1"
"stop_11";"1"
"stop_12";"2"
"stop_13";"1"
"stop_14";"1"
"stop_16";"1"
"stop_17";"3"
"stop_18";"3"
"stop_19";"3"
"stop_20";"1"
"stop_21";"2"
"stop_22";"2"
"stop_23";"3"
"stop_24";"2"
"stop_25";"3"
"stop_27";"1"
"stop_29";"1"
"stop_3";"5"
"stop_31";"2"
"stop_32";"2"
"stop_33";"2"
"stop_35";"2"
"stop_36";"2"
"stop_37";"2"
"stop_38";"2"
"stop_4";"3"
"stop_41";"1"
"stop_5";"2"
"stop_6";"2"
"stop_7";"1"
"stop_8";"1"
"stop_80";"1"
"stop_9";"2"
"stop_entry_only";"818"
"stop_exit_omly";"1"
"stop_exit_only";"1071"
"stop_position";"130"
"stop_position_1";"10"
"stop_postion";"2"
"street";"2"
"substation";"3"
"subway_entrance";"19"
"subway_entry";"4"
"terminal";"99"
"terminal;connect:X12";"1"
"this";"9"
"through";"12"
"THW Geschäftsführerbereich Köln";"1"
"THW Geschäftsführerbereich Mönchengladbach";"1"
"thw:bus";"2"
"thw:gst";"2"
"thw:ov";"10"
"TMC:Point";"11"
"TMC:RoadEnd";"8"
"TMC:RoadStart";"14"
"to";"778"
"track";"2"
"transformer";"1"
"transportation";"5"
"tree";"3"
"Unterkunft";"1"
"variant";"1"
"variant:1";"6"
"variant:2";"2"
"via";"19220"
"view";"3"
"viewpoint";"1"
"wandertafel (FIXME)";"1"
"way";"1"
"waymark";"2"
"weir";"1"
