"k";"count(k)"
"def:traffic_calming=hump;maxspeed";"1"
"def:traffic_calming=table;maxspeed";"1"
"def:zone:maxspeed=BE-VLG:urban;maxspeed";"1"
"def:zone:maxspeed=BE-WAL:rural;maxspeed";"1"
"def:zone:maxspeed=BE-WAL:urban;maxspeed";"1"
"def:zone:maxspeed=BE:30;maxspeed";"1"
"def:zone:maxspeed=BE:rural;maxspeed";"1"
"def:zone:maxspeed=BE:urban;maxspeed";"1"
"def:zone:maxspeed=rural;maxspeed";"1"
"def:zone:maxspeed=urban;maxspeed";"1"
"def:zone:maxspeed=VLG:urban;maxspeed";"1"
"def:zone:maxspeed=WAL:rural;maxspeed";"1"
"def:zone:maxspeed=WAL:urban;maxspeed";"1"
"defensive";"1"
"Dekanate";"1"
"delivery:conditional";"1"
"demolished:building";"1"
"denomination";"74"
"denotation";"3"
"department";"1"
"descend";"1"
"descent";"15"
"description";"1869"
"description:de";"31"
"description:en";"7"
"description:nl";"7"
"description:sr";"1"
"designation";"105"
"destination";"1677"
"destination:ref";"297"
"destination:symbol";"4"
"destination:url";"4"
"details";"2"
"detour";"416"
"diet:vegan";"1"
"dining";"2"
"dir";"3"
"direction";"46"
"direction_hint";"12"
"disabled:route";"2"
"dispensing";"1"
"display";"1"
"dissolved";"2"
"dist";"1"
"distance";"2347"
"disused";"12"
"disused:amenity";"2"
"disused:local_ref";"1"
"disused:public_transport";"3"
"disused:railway";"4"
"disused:ref";"8"
"disused:route";"3"
"disused:route_master";"1"
"disused:sport";"1"
"ditch";"1"
"divider";"27"
"dog";"58"
"donator";"1"
"dormitory";"3"
"duration";"7"
"e-road:class";"11"
"EBIDAT_ID";"2"
"education";"1"
"ele";"19"
"election:level:de";"227"
"election:parliament";"361"
"election:part";"361"
"election:part_name";"221"
"election:ref";"4"
"election:year";"358"
"electional:name";"2"
"electrified";"6"
"email";"78"
"embankment";"1"
"emergency";"37"
"emergency_phone";"1"
"end_date";"28"
"enforcement";"527"
"enforcement_method";"5"
"entrance";"1"
"est_height";"1"
"etymology:wikidata";"1"
"except";"482"
"exception";"1"
"faculty";"1"
"fax";"71"
"fee";"187"
"fenced";"9"
"fence_type";"6"
"ferry";"13"
"fixme";"742"
"FIXME:2";"2"
"FIXME:3";"1"
"fixme:en";"1"
"fixme:fehlt1";"1"
"FIXME:note:de";"1"
"fixme_1";"1"
"fixme_2";"1"
"flag";"6"
"flats";"1"
"floating";"1"
"food";"1"
"foot";"94"
"fortification_type";"113"
"founded";"2"
"frequency";"888"
"frequency:ems";"2"
"frequency:ems:name";"2"
"fro";"1"
"from";"7030"
"from_1";"1"
"fuel:biodiesel";"1"
"fuel:cng";"2"
"fuel:diesel";"5"
"fuel:e10";"1"
"fuel:GTL_diesel";"1"
"fuel:LH2";"1"
"fuel:lpg";"1"
"fuel:octane_100";"2"
"fuel:octane_91";"4"
"fuel:octane_95";"5"
"fuel:octane_98";"3"
"full_name";"3"
"garden";"1"
"garden:type";"3"
"gauge";"8"
"generator:method";"14"
"generator:model";"1"
"generator:operator";"1"
"generator:output:electricity";"12"
"generator:output:hot_water";"1"
"generator:place";"5"
"generator:position";"4"
"generator:ref";"1"
"generator:source";"14"
"generator:start_date";"1"
"generator:type";"5"
"geologisch";"1"
"golf";"65"
"golf:course";"1"
"golf:par";"2"
"golfcourse:tee_names";"1"
"goods";"2"
"government";"3"
"gpx";"1"
"guidepost";"2"
"headframe";"1"
"headway";"9"
"headway:friday";"1"
"headway:saturday";"1"
"healthcare";"1"
"health_facility:type";"5"
"health_person:type";"17"
"health_service:counselling";"1"
"health_specialty";"1"
"health_specialty:acupuncture";"2"
"health_specialty:alternative_medicine";"3"
"health_specialty:belief_based_therapy";"1"
"health_specialty:chiropractic";"2"
"health_specialty:dentistry";"2"
"health_specialty:family_medicine";"5"
"health_specialty:internal_medicine";"1"
"health_specialty:manual_therapy";"1"
"health_specialty:naturopathy";"1"
"health_specialty:neurosurgery";"1"
"health_specialty:orthopaedics";"2"
"health_specialty:orthopaedic_surgery";"1"
"health_specialty:pain_medicine";"1"
"health_specialty:physiotherapy";"7"
"health_specialty:psychotherapy";"2"
"health_specialty:rheumatology";"1"
"health_specialty:sports_medicine";"2"
"health_specialty:surgery";"1"
