"k";"count(k)"
"ref:bufa";"1"
"ref:building";"3"
"ref:büren";"1"
"ref:circulation";"3"
"ref:DB";"3"
"ref:DGKZ";"2"
"ref:ebidat";"2"
"ref:EEG";"3"
"ref:fgkz";"665"
"ref:gemeentecode";"29"
"ref:gnd";"18"
"ref:guid";"33"
"ref:gwlnr";"1"
"ref:hafas";"6"
"ref:hst";"13"
"ref:ibnr";"250"
"ref:IFOPT";"8405"
"ref:INS";"10"
"ref:isil";"6"
"ref:lccn";"1"
"ref:monschau";"1"
"ref:nl";"8"
"ref:NUTS";"1"
"ref:provinciecode";"3"
"ref:sandre";"2"
"ref:SCI";"2"
"ref:sil";"1"
"ref:TEC";"5"
"ref:vatin";"1"
"ref:viaf";"18"
"ref:VRS";"57"
"ref:VzG";"2"
"ref:wetter";"1"
"ref:witten";"3"
"ref:woonplaatscode";"81"
"reference";"8"
"ref_1";"1"
"ref_alt";"1"
"ref_name";"3180"
"region";"68"
"region:type";"3"
"reg_name";"10"
"relation";"8"
"religion";"115"
"religion:wikidata";"2"
"reservoir_type";"3"
"residents";"1"
"resource";"14"
"restriction";"19270"
"restriction:hgv";"16"
"retreat";"1"
"retreat:for";"1"
"retreat:operator";"1"
"right:country";"2"
"road";"1"
"road_lcd";"137"
"road_ref";"69"
"role";"11"
"roof";"2"
"roof:colour";"131"
"roof:direction";"1"
"roof:height";"22"
"roof:levels";"39"
"roof:material";"94"
"roof:orientation";"25"
"roof:shape";"215"
"roof:surface";"1"
"room";"1"
"rooms";"2"
"roundtrip";"2440"
"roundway";"1"
"route";"20671"
"route:rail_trail";"5"
"route_fragments";"1"
"route_master";"2232"
"route_ref";"6"
"rrr:name";"1"
"ruins";"13"
"running";"2"
"rwn";"16"
"sac_scale";"13"
"sale";"1"
"sanitary_dump_station";"1"
"sauna";"1"
"schema";"17"
"school";"7"
"school:de";"8"
"school:wikidata";"1"
"scout";"1"
"seamark:berth:goods";"1"
"seamark:berth:name";"1"
"seamark:landmark:category";"3"
"seamark:landmark:conspicuity";"3"
"seamark:landmark:name";"3"
"seamark:name";"1"
"seamark:restricted_area:information";"3"
"seamark:restricted_area:restriction";"6"
"seamark:source";"2"
"seamark:type";"12"
"second_hand";"1"
"section";"17"
"see";"8"
"segment";"4"
"segregated";"3"
"seg_lcd";"69"
"service";"437"
"service_times";"2"
"SGD-ID:ref";"7"
"shared_taxi";"4"
"share_taxi";"10"
"share_taxi:phone";"58"
"shelter";"101"
"shelter_type";"5"
"ship";"1"
"shop";"64"
"shop:VRS";"4"
"short";"1"
"short_name";"72"
"short_name:da";"1"
"short_name:de";"2"
"short_name:en";"1"
"short_name:et";"1"
"short_name:eu";"1"
"short_name:fr";"1"
"short_name:mk";"1"
"short_name:ms";"1"
"short_name:nn";"1"
"short_name:no";"1"
"short_name:pa";"1"
"short_name:ru";"1"
"short_name:sv";"1"
"short_name:ta";"1"
"short_name:ur";"1"
"short_name:vi";"1"
"sidewalk";"2"
"site";"247"
"site_status";"1"
"site_type";"162"
"smoking";"66"
"smoothness";"15"
"social_facility";"38"
"social_facility:for";"39"
"social_facility_for";"2"
"source";"2381"
"source:addr";"5"
"source:boundary";"78"
"source:building";"1"
"source:capacity";"1"
"source:construction";"1"
"source:date";"22"
"source:de";"1"
"source:distance";"1"
"source:en";"1"
"source:geometry";"4"
"source:height";"6"
"source:housenumber";"8"
"source:name";"7"
"source:outline";"71"
"source:platform_height";"1"
"source:population";"98"
"source:position";"106"
"source:position_estamination";"1"
"source:ref";"8"
"source:shape";"1"
"source:tracer";"2"
"source:zoomlevel";"2"
"source_1";"1"
"species";"4"
"species:de";"4"
"species:en";"4"
"sport";"502"
"sss";"1"
"stadtwiki-balve";"1"
"stars";"2"
"start";"1"
"start_date";"247"
"start_date:source";"1"
"state";"176"
"status";"25"
"status:maxspeed";"1"
"stay";"4"
"step_count";"2"
"strassen-nrw:abs";"1"
"stroller";"52"
"subject";"1"
"substation";"1"
"subtitle";"1"
"subway";"20"
"supervised";"29"
"support";"1"
"surface";"436"
"surface:colour";"2"
"surveillance";"1"
"survey:date";"3"
"swimming";"2"
"symbol";"2633"
"symbol:de";"16"
"symbol:en";"2"
"symbol:url";"4"
"table";"138"
"tactile_paving";"209"
"taxi";"15"
"telephone_area_code";"1"
"thermometer";"1"
"timetable";"35"
"timezone";"4"
"TMC:cid_58:tabcd_1:Class";"1122"
"TMC:cid_58:tabcd_1:Direction";"250"
"TMC:cid_58:tabcd_1:IntersectionCode";"4"
"TMC:cid_58:tabcd_1:IsUrban";"2"
"TMC:cid_58:tabcd_1:LCLversion";"1124"
"TMC:cid_58:tabcd_1:LocationCode";"1128"
"TMC:cid_58:tabcd_1:NextLocationCode";"290"
"TMC:cid_58:tabcd_1:PrevLocationCode";"295"
"TMC:cid_58:tabcd_1:TypeName";"27"
"TMC:cid_58:tabcd_1:TypeName:loc";"26"
"to";"7039"
"to:de";"1"
"to:en";"1"
"todo";"1"
"toilet";"1"
"toilets";"21"
"toilets:wheelchair";"29"
"tour";"4"
"tourism";"133"
"tower:type";"5"
"townhall:type";"2"
"toys:model_railway";"1"
"tracks";"4"
"trade";"1"
"traffic_sign";"7"
"trail_visibility";"3"
"train";"417"
"tram";"172"
"tree";"1"
"trolleybus";"1"
"tunnel";"34"
"turn";"7"
"type";"110565"
"tzp";"1"
"uic_name";"1021"
"uic_ref";"1785"
"university";"9"
"UntereDenkmalbehörde:inscription_date";"2"
"url";"417"
"url:en";"1"
"usage";"5"
"vehicle";"61"
"version";"138"
"via";"1435"
"via:2";"16"
"via:3";"4"
"via_1";"6"
"via_2";"6"
"vikivoyage";"1"
"visibility";"2"
"voltage";"905"
"vrr.wabe";"1"
"vrr:abbr";"1"
"vrr:last_checked";"6"
"vrr:name";"6"
"vrr:wabe";"4520"
"vrr:wbe";"1"
"VRS:gemeinde";"516"
"VRS:name";"249"
"VRS:ortsteil";"516"
"VRS:poi";"1"
"VRS:ref";"493"
"vrs_import:checked";"1"
"wabe:vrr";"1"
"was:bus";"1"
"was:uic_name";"1"
"was:uic_ref";"2"
"water";"215"
"waterway";"1149"
"water_point";"1"
"waymarked";"1"
"waymarks";"2"
"WDPA-ID:ref";"4"
"WDPA_ID";"1"
"WDPA_ID:ref";"32"
"web:symbol";"4"
"website";"2261"
"website2";"10"
"website:keepright";"1"
"website:official";"2"
"website:operator";"1"
"website:ru";"1"
"website_1";"1"
"wetland";"80"
"wheelchair";"643"
"wheelchair:access";"3"
"wheelchair:description";"44"
"wheelchair:description:de";"20"
"wheelchair:note";"2"
"wheelchair:places";"2"
"wheelchair:source";"3"
"wheelchair:toilets";"4"
"wheelchair_toilet";"3"
"width";"12"
"wiki";"2"
"wiki:source";"1"
"wiki:symbol";"529"
"wikidata";"2322"
"wikimedia_commons";"58"
"wikipedia";"2709"
"wikipedia:de";"1"
"wikipedia:en";"3"
"wikipedia:fr";"1"
"wikivoyage";"3"
"wikivoyage:de";"2"
"wires";"889"
"wood";"211"
"workrules";"1"
"worship";"3"
"x-name";"1"
"x-osmc:symbol";"1"
"XTRID";"1"
"year";"2"
"year_filled";"1"
"year_of_construction";"30"
"Zeit";"1"
"zone";"117"
"zoo";"3"
